Deg,DN2,DN3,DN4,BUMP1,BUMP2
45,6028,5528,5368,4712,4520
45,6956,6404,6312,5380,5064
45,6164,5632,5480,4860,4656
45,6976,6444,6352,5416,5108
45,6980,6448,6356,5420,5108
45,7004,6452,6352,5424,5108
45,6960,6408,6316,5380,5064
45,7004,6452,6356,5424,5112
45,7008,6452,6360,5460,5112
45,7012,6452,6360,5460,5112
40,7224,6776,6716,5364,5244
40,7264,6820,6728,5420,5296
40,7280,6852,6760,5448,5332
40,7276,6832,6740,5452,5332
40,7276,6828,6736,5420,5340
40,7308,6832,6740,5456,5340
40,7308,6828,6764,5420,5340
40,7300,6832,6736,5448,5332
40,7316,6868,6776,5464,5348
40,7312,6864,6768,5452,5336
35,7320,6984,6920,5272,5324
35,7376,7032,6964,5292,5344
35,7372,7032,6968,5280,5372
35,7400,7036,6972,5324,5376
35,7364,7036,6976,5332,5424
35,7404,7036,7004,5324,5376
35,7408,7040,7004,5328,5388
35,7404,7036,7000,5324,5376
35,7392,7080,7016,5372,5424
35,7420,7040,7008,5332,5392
30,7496,7220,7232,5176,5392
30,7472,7244,7292,5240,5456
30,7496,7252,7260,5244,5456
30,7504,7244,7284,5236,5456
30,7524,7280,7288,5236,5448
30,7512,7288,7296,5244,5464
30,7536,7288,7296,5236,5496
30,7508,7288,7296,5236,5496
30,7532,7284,7324,5236,5488
30,7540,7292,7300,5240,5504
25,7624,7500,7572,5152,5536
25,7656,7532,7604,5188,5568
25,7692,7540,7612,5200,5576
25,7700,7548,7648,5200,5580
25,7692,7540,7640,5192,5572
25,7696,7544,7644,5236,5576
25,7696,7544,7644,5192,5580
25,7688,7580,7656,5236,5612
25,7696,7576,7644,5192,5608
25,7708,7584,7652,5236,5616
20,7788,7756,7876,5148,5620
20,7824,7760,7912,5152,5656
20,7840,7808,7928,5200,5704
20,7828,7792,7924,5188,5688
20,7864,7832,7936,5192,5688
20,7860,7796,7924,5192,5696
20,7868,7836,7932,5188,5732
20,7868,7808,7932,5200,5704
20,7872,7812,7964,5192,5740
20,7872,7840,7960,5196,5700
15,7828,7836,8028,5064,5684
15,7864,7876,8064,5100,5728
15,7864,7872,8088,5100,5732
15,7868,7876,8076,5152,5736
15,7908,7876,8100,5144,5732
15,7904,7912,8076,5144,5736
15,7904,7912,8076,5144,5736
15,7908,7916,8088,5192,5776
15,7912,7920,8112,5148,5776
15,7904,7912,8076,5144,5736
10,7828,7868,8084,5024,5696
10,7848,7916,8112,5056,5680
10,7852,7924,8124,5056,5716
10,7888,7936,8152,5056,5720
10,7864,7936,8152,5100,5728
10,7896,7936,8152,5056,5720
10,7864,7936,8176,5104,5732
10,7900,7940,8188,5100,5732
10,7872,7944,8184,5104,5768
10,7900,7968,8164,5100,5768
5,7928,7996,8244,5052,5756
5,7980,8020,8260,5100,5812
5,7980,8048,8296,5100,5812
5,7980,8048,8296,5100,5812
5,8020,8060,8332,5100,5848
5,8016,8084,8328,5104,5816
5,8020,8088,8336,5100,5852
5,8016,8088,8332,5100,5848
5,8020,8088,8340,5108,5852
5,8024,8092,8336,5104,5856
0,7916,8016,8208,4996,5744
0,7896,7996,8272,5060,5764
0,7908,8008,8248,5056,5804
0,7904,8032,8276,5012,5804
0,7908,8012,8280,5056,5844
0,7936,8036,8284,5052,5804
0,7908,8036,8284,5064,5804
0,7940,8040,8284,5056,5808
0,7948,8016,8292,5056,5848
0,7940,8040,8316,5104,5808
-5,7624,7756,8048,4916,5628
-5,7632,7732,8028,4880,5672
-5,7632,7760,8060,4872,5704
-5,7628,7764,8056,4880,5668
-5,7636,7792,8036,4880,5672
-5,7640,7768,8064,4880,5712
-5,7672,7772,8072,4924,5676
-5,7672,7776,8072,4924,5712
-5,7672,7800,8068,4924,5676
-5,7636,7796,8064,4920,5672
-10,7488,7660,7904,4772,5600
-10,7476,7640,7940,4788,5656
-10,7484,7644,7944,4832,5660
-10,7492,7652,7952,4828,5704
-10,7484,7644,7964,4828,5660
-10,7524,7652,7972,4872,5664
-10,7524,7684,7984,4872,5700
-10,7524,7688,7984,4872,5704
-10,7532,7660,7980,4832,5708
-10,7500,7692,7984,4876,5712
-15,7264,7432,7784,4744,5660
-15,7308,7504,7828,4744,5692
-15,7308,7504,7848,4740,5696
-15,7324,7512,7860,4784,5740
-15,7316,7508,7876,4744,5696
-15,7316,7512,7884,4788,5704
-15,7356,7516,7868,4788,5740
-15,7360,7548,7876,4792,5744
-15,7320,7540,7884,4820,5736
-15,7324,7544,7888,4824,5736
-20,7076,7296,7700,4664,5700
-20,7100,7352,7724,4692,5688
-20,7140,7336,7760,4692,5768
-20,7140,7364,7768,4700,5736
-20,7136,7364,7768,4700,5736
-20,7136,7364,7760,4692,5728
-20,7136,7364,7768,4692,5768
-20,7136,7384,7796,4696,5732
-20,7136,7388,7796,4700,5736
-20,7144,7364,7768,4736,5772
-25,6832,7088,7572,4588,5708
-25,6856,7116,7592,4604,5760
-25,6860,7140,7628,4612,5768
-25,6864,7144,7624,4604,5768
-25,6860,7172,7628,4604,5768
-25,6888,7176,7632,4604,5764
-25,6892,7184,7636,4648,5764
-25,6900,7180,7640,4608,5808
-25,6896,7176,7660,4648,5772
-25,6936,7192,7648,4652,5808
-30,6664,6944,7508,4524,5844
-30,6628,6968,7528,4560,5844
-30,6660,7008,7564,4596,5880
-30,6668,7012,7540,4604,5884
-30,6668,6980,7544,4604,5884
-30,6668,7008,7548,4564,5884
-30,6664,6988,7540,4556,5920
-30,6676,7016,7532,4568,5928
-30,6672,7020,7552,4604,5928
-30,6684,7024,7588,4612,5932
-35,6336,6712,7300,4524,6004
-35,6424,6796,7384,4508,5960
-35,6432,6808,7420,4520,5964
-35,6436,6812,7448,4512,5996
-35,6464,6812,7424,4512,5960
-35,6432,6808,7444,4476,5960
-35,6460,6832,7424,4508,5964
-35,6472,6812,7448,4520,5960
-35,6468,6812,7424,4508,5996
-35,6468,6816,7452,4552,6004
-40,6004,6404,7100,4332,5988
-40,5988,6360,7052,4284,5900
-40,5988,6368,7080,4288,5904
-40,5996,6404,7096,4292,5944
-40,5992,6392,7088,4332,5904
-40,6036,6404,7100,4332,5948
-40,5996,6372,7088,4336,5944
-40,6004,6412,7100,4336,5984
-40,6032,6408,7096,4336,5944
-40,6000,6404,7092,4336,5944
-45,5520,5892,6676,4096,5916
-45,5484,5888,6660,4060,5808
-45,5516,5892,6652,4060,5812
-45,5520,5896,6664,4064,5848
-45,5488,5900,6700,4108,5880
-45,5480,5924,6692,4060,5844
-45,5528,5928,6676,4108,5848
-45,5528,5900,6672,4060,5848
-45,5528,5904,6700,4104,5852
-45,5524,5932,6676,4108,5848
