Deg,DN2,DN3,DN4,BUMP1,BUMP2
9,25456,25916,26404,13556,15252
9.5,27960,28268,28832,14736,16676
9.5,28008,28508,29064,14556,16416
9.5,28096,28624,29180,14640,16500
9.5,28112,28644,29144,14596,16456
9.5,28116,28636,29152,14640,16452
9.5,28124,28648,29180,14644,16496
9.5,28156,28644,29184,14632,16488
9.5,28152,28652,29208,14640,16496
9.5,28164,28664,29220,14684,16536
9.5,28168,28724,29228,14684,16540
10,30364,30892,31216,15372,17312
10,30360,30852,31416,15504,17444
10,30408,30928,31492,15552,17488
10,30428,30980,31520,15548,17484
10,30460,30988,31552,15588,17488
10,30500,31004,31564,15596,17520
10,30500,31032,31588,15588,17528
10,30500,31036,31592,15584,17564
10,30512,31068,31576,15628,17568
10,30544,31072,31580,15628,17564
