Deg,DN2,DN3,DN4,BUMP1,BUMP2
45,6388,5932,5940,4800,4676
45,6412,5964,5932,4824,4700
45,6412,5956,5968,4816,4700
45,6412,5960,5968,4824,4708
45,6420,5964,5972,4860,4740
45,6420,5964,5972,4864,4708
45,6428,5972,5980,4872,4752
45,6424,5968,5980,4868,4744
45,6428,5968,5980,4868,4752
45,6444,5968,5980,4864,4740
40,7136,6728,6768,5380,5392
40,7128,6748,6756,5324,5336
40,7128,6752,6760,5332,5344
40,7132,6740,6780,5324,5336
40,7136,6764,6772,5328,5380
40,7152,6756,6764,5332,5340
40,7140,6760,6800,5368,5380
40,7140,6764,6776,5376,5388
40,7168,6764,6804,5340,5392
40,7148,6788,6800,5372,5384
35,6924,6600,6608,4880,5016
35,6956,6628,6640,4876,5012
35,6964,6636,6644,4876,5052
35,6968,6640,6652,4924,5064
35,6996,6672,6640,4916,5056
35,6968,6680,6640,4920,5056
35,6996,6672,6684,4916,5056
35,6996,6676,6684,4916,5056
35,6996,6676,6684,4920,5056
35,7000,6672,6684,4960,5060
30,7084,6844,7004,4924,5220
30,7176,6928,6968,4880,5132
30,7164,6932,6972,4876,5180
30,7188,6968,6980,4880,5176
30,7196,6968,7008,4916,5180
30,7192,6964,7008,4868,5176
30,7192,6968,7008,4876,5172
30,7220,6972,7012,4880,5176
30,7196,6972,7012,4924,5176
30,7200,6972,7012,4920,5180
25,7760,7616,7656,5192,5616
25,7748,7620,7720,5196,5656
25,7752,7628,7724,5244,5660
25,7784,7632,7732,5236,5664
25,7784,7632,7732,5236,5664
25,7784,7632,7732,5236,5700
25,7784,7632,7732,5236,5700
25,7796,7640,7768,5244,5708
25,7792,7636,7764,5236,5704
25,7804,7672,7776,5280,5708
20,7732,7668,7792,5088,5596
20,7752,7684,7816,5144,5648
20,7776,7684,7840,5144,5648
20,7784,7720,7848,5148,5652
20,7788,7692,7848,5156,5656
20,7788,7728,7852,5152,5656
20,7788,7696,7852,5152,5696
20,7820,7728,7860,5152,5692
20,7792,7732,7880,5192,5728
20,7816,7724,7876,5188,5688
15,7992,7960,8160,5232,5856
15,7980,7948,8124,5188,5768
15,7992,7952,8156,5188,5816
15,7992,7960,8160,5192,5820
15,7992,8000,8164,5192,5816
15,7988,8000,8164,5192,5824
15,7988,7996,8160,5188,5820
15,7992,8000,8164,5192,5816
15,7988,8000,8188,5196,5824
15,8020,7988,8172,5196,5816
10,8044,8056,8296,5132,5836
10,8028,8040,8280,5192,5864
10,8032,8040,8284,5192,5860
10,8068,8076,8300,5236,5900
10,8036,8072,8292,5188,5896
10,8072,8080,8324,5192,5904
10,8072,8080,8324,5192,5896
10,8072,8084,8324,5236,5900
10,8072,8084,8324,5236,5908
10,8072,8112,8332,5236,5908
5,8044,8056,8296,5132,5836
5,8028,8040,8280,5192,5864
5,8032,8040,8284,5192,5860
5,8068,8076,8300,5236,5900
5,8036,8072,8292,5188,5896
5,8072,8080,8324,5192,5904
5,8072,8080,8324,5192,5896
5,8072,8084,8324,5236,5900
5,8072,8084,8324,5236,5908
5,8072,8112,8332,5236,5908
0,8028,8132,8376,5148,5896
0,8036,8104,8348,5144,5936
0,8036,8108,8380,5144,5972
0,8044,8112,8388,5192,5944
0,8040,8140,8384,5188,5940
0,8076,8144,8400,5192,5976
0,8048,8148,8392,5192,5984
0,8052,8124,8392,5200,5988
0,8076,8152,8396,5192,5976
0,8084,8152,8396,5192,5984
-5,7880,7984,8280,5056,5884
-5,7896,8028,8320,5100,5936
-5,7932,8040,8312,5144,5980
-5,7924,8060,8328,5100,5932
-5,7940,8040,8332,5144,5976
-5,7940,8072,8340,5148,5980
-5,7936,8064,8340,5148,5976
-5,7940,8072,8372,5144,5980
-5,7940,8072,8340,5144,5980
-5,7972,8068,8376,5148,5976
-10,7700,7832,8132,5004,5912
-10,7752,7880,8176,5012,5928
-10,7744,7904,8204,5012,5920
-10,7776,7916,8212,5056,5928
-10,7792,7920,8216,5060,5932
-10,7788,7920,8220,5056,5932
-10,7792,7920,8240,5060,5932
-10,7788,7916,8244,5100,5928
-10,7784,7916,8244,5056,5972
-10,7796,7928,8220,5060,5972
-15,7688,7816,8188,4972,5968
-15,7696,7856,8208,5012,6008
-15,7688,7876,8228,5012,6004
-15,7700,7896,8224,5060,6056
-15,7700,7896,8240,5056,6052
-15,7704,7892,8240,5056,6052
-15,7732,7924,8256,5056,6052
-15,7732,7892,8244,5056,6052
-15,7732,7900,8276,5056,6052
-15,7740,7900,8272,5060,6056
-20,7596,7816,8196,5012,6092
-20,7608,7828,8232,5056,6132
-20,7652,7840,8244,5064,6140
-20,7648,7840,8236,5056,6132
-20,7656,7848,8256,5060,6176
-20,7644,7872,8248,5060,6176
-20,7648,7876,8272,5056,6172
-20,7684,7880,8276,5056,6176
-20,7660,7880,8276,5100,6176
-20,7680,7900,8284,5100,6176
-25,7196,7476,7956,4864,6068
-25,7244,7524,7984,4880,6116
-25,7248,7528,8016,4876,6156
-25,7252,7536,8020,4880,6160
-25,7252,7540,8020,4920,6160
-25,7260,7540,8024,4924,6168
-25,7256,7564,8028,4924,6164
-25,7288,7568,8028,4924,6160
-25,7292,7548,8052,4924,6164
-25,7296,7576,8032,4924,6164
-30,6980,7352,7888,4828,6228
-30,7024,7364,7928,4832,6272
-30,7032,7372,7940,4876,6316
-30,7036,7408,7944,4880,6320
-30,7036,7412,7972,4876,6320
-30,7072,7416,7968,4872,6328
-30,7044,7412,7964,4872,6328
-30,7064,7408,7992,4872,6320
-30,7072,7416,8004,4872,6360
-30,7076,7420,8008,4916,6364
-35,6764,7148,7752,4788,6404
-35,6804,7180,7816,4832,6408
-35,6812,7188,7824,4832,6448
-35,6808,7184,7824,4832,6440
-35,6840,7192,7824,4836,6444
-35,6848,7228,7832,4828,6484
-35,6844,7220,7856,4832,6448
-35,6848,7224,7860,4872,6484
-35,6852,7228,7864,4872,6484
-35,6848,7228,7868,4880,6484
-40,6356,6768,7460,4604,6384
-40,6392,6784,7496,4648,6424
-40,6400,6812,7508,4648,6432
-40,6400,6816,7508,4648,6432
-40,6444,6828,7524,4656,6472
-40,6432,6824,7532,4640,6464
-40,6448,6828,7524,4656,6476
-40,6444,6828,7544,4652,6472
-40,6440,6828,7540,4652,6468
-40,6440,6828,7540,4696,6472
-45,5868,6284,7032,4372,6308
-45,5920,6304,7056,4384,6360
-45,5924,6300,7068,4420,6388
-45,5928,6300,7068,4420,6388
-45,5928,6300,7068,4424,6392
-45,5928,6308,7096,4428,6396
-45,5928,6340,7100,4420,6396
-45,5928,6336,7100,4420,6392
-45,5928,6344,7100,4428,6400
-45,5924,6340,7108,4468,6436
